firm_name,publication_number,title,filing_date,filing_year,inventor
ROKETSAN,TR2024006903A1,Kapali kaplardaki̇ vakum basincini pi̇ezoelektri̇k metodu i̇le ölçen bi̇r si̇ …,2024-05-31,2024,Anonim
ROKETSAN,TR2024004297A2,Beş serbestli̇k dereceli̇ ve sevk si̇stemi̇ni̇ askida tutan stati̇k ateşleme …,2024-04-05,2024,Anonim
ROKETSAN,TR2024008087A2,Kati yakitli roket motoru kompozi̇t gövde üreti̇mi̇ i̇çi̇n sökülebi̇li̇r …,2024-06-26,2024,Anonim
ROKETSAN,TR2024004656A1,Farkli platformlara entegre edi̇lecek ürünler i̇çi̇n modüler arayüz üni̇tesi̇,2024-04-18,2024,Anonim
ROKETSAN,TR2021015789A2,Tek nokta düzgün dağilmama düzeltmesi̇ni̇n taşinmasi si̇stemi̇ ve yöntemi̇,2021-10-11,2021,Anonim
ROKETSAN,TR2024001855A1,Si̇li̇syum karbür esasli serami̇kleri̇n segrege ağ yapilari i̇le termoelektri̇k …,2024-02-16,2024,Anonim
ROKETSAN,TR2024001893A1,İki̇ parçali torsi̇yon bari,2024-02-16,2024,Anonim
ROKETSAN,TR2024001683A1,Topçu mühi̇mmatlarinda kullanilan tapa si̇stemleri̇ i̇çi̇n elektromekani̇k emni …,2024-02-13,2024,Anonim
ROKETSAN,TR2021019269U4,Tekrarlanabi̇li̇r pozi̇syonlamaya i̇zi̇n veren fi̇kstür,2021-12-07,2021,Anonim
ROKETSAN,TR2024001891A1,İki̇ eksende katlanan kanat mekani̇zmasi,2024-02-16,2024,Anonim
ROKETSAN,TR2024001186A1,Füze destek elemanlari / sabotlar i̇çi̇n yay kovani,2024-02-01,2024,Anonim
ROKETSAN,TR2024001730A1,Torpi̇do atiş eki̇pmanina i̇li̇şi̇k su alti di̇nleme si̇stemi̇,2024-02-14,2024,Anonim
ROKETSAN,TR2024006271A1,Yük kapasi̇tesi̇ bazli düzensi̇zli̇k düzeltmesi̇ metodu,2024-05-21,2024,Anonim
ROKETSAN,TR2023018293A2,Lazer güdümlü füze si̇stemleri̇ i̇çi̇n yaklaşma algilayicili yari akti̇f lazer …,2023-12-25,2023,Anonim
ROKETSAN,TR2022009849A2,Rotasyon yönünü peri̇yodi̇k olarak deği̇şti̇rebi̇len gi̇rdapli akiş üreten ci̇ …,2022-06-14,2022,Anonim
ROKETSAN,TR201914567A2,Di̇rengenli̇ği̇ ayarlanabi̇li̇r ti̇treşi̇m sönümleyi̇ci̇ terti̇bati,2019-09-25,2019,A
ROKETSAN,TR2023017416A1,Çevresel di̇nami̇kler yardimi i̇le akti̇ve olan tapa elektroni̇k güç kontrol …,2023-12-15,2023,Anonim
ROKETSAN,TR2024001185A1,Kayar ti̇p füze destek elemani / sabot,2024-02-01,2024,Anonim
ROKETSAN,TR202015270A2,Araçların akışkan ortamlar içinde hassas yönelimini sağlamak için akıllı …,2020-09-25,2020,Anonim
ROKETSAN,TR2024001184A2,Arabali füze destek elemani / sabot,2024-02-01,2024,Anonim
ROKETSAN,TR2023017412A1,Hava araçlarinda gi̇rdap kaynakli ti̇treşi̇m yöntemi̇ kullanilarak elektri̇k …,2023-12-15,2023,Anonim
ROKETSAN,TR2023010748A1,ÇOK KATMANLI FONKSİYONEL GEÇİŞLİ KAPLAMA ve ÜRETİM YÖNTEMİ,2023-09-01,2023,Anonim
ROKETSAN,TR2023004708A2,Çeli̇k sarmal halat ti̇pi̇ sönümleme elemanlarinin karakteri̇zasyonu i̇çi̇n …,2023-04-27,2023,Anonim
ROKETSAN,TR2023009959A2,Füze ve güdümlü mühi̇mmatlar i̇çi̇n kontrol yüzeyi̇ ki̇li̇t mekani̇zmasi,2023-08-17,2023,Anonim
ROKETSAN,TR2023004871A2,Rotor akti̇vasyon mekani̇zmasi,2023-05-02,2023,Anonim
ROKETSAN,TR2023004122A1,Çoklu sayida sensör i̇çeren bi̇r dönü ölçer terti̇bati,2023-04-13,2023,Anonim
ROKETSAN,TR2023002251A1,Çoklu bakiş açilari i̇çeren opti̇k si̇stem,2023-03-01,2023,Anonim
ROKETSAN,TR2023003739A2,Çeli̇k sarmal halat ti̇pi̇ sönümleme elemanlarina sahi̇p bi̇r kani̇ster taşima …,2023-04-05,2023,Anonim
ROKETSAN,TR2023001664A1,Yüksek saflikta jet propellant-10 jet yakiti eldesi̇nde kullanilmak üzere bi̇r …,2023-02-14,2023,Anonim
ROKETSAN,TR2023001524A2,Izgara kanatçik açilma mekani̇zmasi,2023-02-09,2023,Anonim
ROKETSAN,TR2023002606U4,Bi̇r kablo test si̇stemi̇ i̇çi̇n bi̇r kablo tutucu,2023-03-09,2023,Anonim
ROKETSAN,TR2022018776A1,Halka lazer dönü ölçerlerde cam gövde temi̇zli̇k i̇şlemi̇nde isitma ve soğutma …,2022-12-07,2022,Anonim
ROKETSAN,TR2022017902A2,Refrakter metal ve alaşimlarinin farkli metallerle bi̇rleşti̇ri̇lmesi̇ i̇çi̇n …,2022-11-25,2022,Anonim
ROKETSAN,TR2022002456U4,Sivi yakitli roket motoru stati̇k ateşleme test düzeneği̇ üzeri̇nde alti …,2022-02-23,2022,Anonim
ROKETSAN,TR2022015968A1,Lazer kodu i̇le hedef ti̇pi̇ seçi̇m si̇stemi̇ ve yöntemi̇,2022-10-20,2022,Anonim
ROKETSAN,TR2022014253A1,Dönü stabi̇li̇ze topçu mühi̇mmatlarinin vuruş hassasi̇yeti̇ni̇n artirilmasi i̇ …,2022-09-15,2022,Anonim
ROKETSAN,TR2023003373A1,Araç üstü eki̇pmanlari ve i̇ş maki̇nalarinda kullanilan hi̇droli̇k sevi̇yeleme/ …,2023-03-28,2023,Anonim
ROKETSAN,TR2025014466A2,İç radyus ölçüm mastari,2025-10-03,2025,Anonim
ROKETSAN,TR2022009550A2,Buzlanma önleyi̇ci̇ özelli̇ğe sahi̇p kompozi̇t kri̇yojeni̇k tank,2022-06-09,2022,Anonim
ROKETSAN,TR201914675A2,Serbest-serbest sinir koşullarinda ayarlanabi̇len di̇rengenli̇ğe sahi̇p bi̇r …,2019-09-26,2019,A
ROKETSAN,TR2022005722A2,Çanta formunda i̇ki̇nci̇l etki̇leri̇ azaltilmiş modüler patlayici tepki̇meli̇ …,2022-04-11,2022,Anonim
ROKETSAN,TR2024007974A1,Firlaticida şarj edi̇len enerji̇ kaynaği kullanan füze,2024-06-24,2024,Anonim
ROKETSAN,TR2021021949A1,Farkli metal alaşimlarinin hi̇bri̇t bi̇rleşti̇rme yöntemleri̇ i̇le hermeti̇k …,2021-12-30,2021,Anonim
ROKETSAN,TR2022008668A1,Mesafe ölçümü destekli̇ uçuş si̇mülasyonu tabanli navi̇gasyon yöntemi̇,2022-05-27,2022,Anonim
ROKETSAN,TR2023013199A2,Dişbükey geometri̇ye sahi̇p i̇ç gövdeli̇ parçacik tesi̇rli̇ harp başliği,2023-10-17,2023,Anonim
ROKETSAN,TR2023005761A1,Açilir kanat ki̇li̇tleme mekani̇zmasi,2023-05-22,2023,Anonim
ROKETSAN,TR2022002865A2,Yildiz tarama si̇stemi̇ ve yöntemi̇,2022-02-28,2022,Anonim
ROKETSAN,TR2022014252A2,Farkli kaynaklardan gelen ölçüm ve veri̇leri̇ bi̇rleşti̇rme si̇stemi̇ ve …,2022-09-15,2022,Anonim
ROKETSAN,TR2024001921A2,"Kirma pi̇mli̇, şeki̇l bellek hafiza eylemeli̇ gaz yayi",2024-02-19,2024,Anonim
ROKETSAN,TR2022007809A2,Kapali döngü çalişan fi̇ber opti̇k dönüölçerlerde si̇nyal gürültü orani eni̇yi̇ …,2022-05-13,2022,Anonim
ROKETSAN,TR2022008667A1,Küresel konumlandirma si̇stemi̇ destekli̇ uçuş si̇mülasyonu tabanli navi̇gasyon …,2022-05-27,2022,Anonim
HAVELSAN,TR2022002511A2,İnsansiz kara araçlari i̇çi̇n otonom palet gergi̇ mekani̇zmasi ve çalişma …,2022-02-23,2022,Anoni̇m
HAVELSAN,TR201922659A1,5g ve ötesi̇ ağ yapilari i̇çi̇n güvenli̇ bölge opti̇mi̇zasyonu bazli deri̇n …,2019-12-30,2019,Anonim
HAVELSAN,TR202104311A2,5g ve ötesi̇ ağlarda sanal ağ gömme problemi̇ni̇n çoklu fi̇zi̇ksel ağ yapisini …,2021-03-05,2021,Anonim
HAVELSAN,TR2023003176A2,Taşinabi̇li̇r ci̇hazlarda açi ölçen sensörleri̇n (imu) yüksekli̇k modeli̇ hari̇ …,2023-03-23,2023,Anonim
HAVELSAN,TR201812156A2,Plaka tanima si̇stemi̇ kamera görüntüleri̇ kullanilarak ön koltuk yolcu kapasi̇ …,2018-08-27,2018,Anonim
HAVELSAN,TR201808941A2,Plaka tanima si̇stemi̇ kamera görüntüleri̇ kullanilarak emni̇yet kemer i̇hlal …,2018-06-25,2018,Anonim
HAVELSAN,TR201723113A2,Havadan çekilen görüntüler vasıtasıyla kenevir benzeri narkotik bitkinin …,2017-12-29,2017,Anonim
HAVELSAN,TR2021020173A2,Ptz kameralarin kali̇brasyon ve yöneti̇m yöntemi̇,2021-12-16,2021,Anonim
HAVELSAN,TR202021699A2,5g ve ötesi̇ ağlarda ağ di̇li̇mleme i̇çi̇n kaynak atama i̇çi̇n bi̇r yöntem,2020-12-25,2020,A
HAVELSAN,TR201723107A2,Havadan çekilen görüntüler vasıtasıyla haşhaş benzeri narkotik bitkinin …,2017-12-29,2017,Anonim
HAVELSAN,TR201604477A2,Aviyonik test sunucusu,2016-04-06,2016,Anonim
HAVELSAN,TR201608513A2,Görüntülü mühimmat ve lazer değerlendirme sistemi,2016-06-21,2016,Anonim
HAVELSAN,TR2021021757A2,İnsansiz kara araçlari i̇çi̇n taki̇p mekani̇zmasi,2021-12-30,2021,Anonim
HAVELSAN,TR2021014085A2,Tecrübe i̇le sürekli̇ öğrenen otonom sanal si̇mülatör varliklari,2021-09-08,2021,A
HAVELSAN,TR2022004897A1,Di̇ji̇tal görüntü üzeri̇ndeki̇ nesneleri̇n hi̇bri̇tleşti̇ri̇lmi̇ş resnet ve …,2022-03-30,2022,Anonim
HAVELSAN,TR201722570A2,Doğrusal fi̇ltre kaydirmali hi̇perspektral-multi̇spektral kamera,2017-12-28,2017,A
HAVELSAN,TR2021016506A2,Uçan araba trafi̇k yöneti̇m bi̇lgi̇ si̇stemi̇,2021-10-22,2021,Anoni̇m
HAVELSAN,TR202021592A2,Askeri̇ eki̇pmanlarin mobi̇l üreti̇mi̇ i̇çi̇n bi̇r yöntem,2020-12-24,2020,A
HAVELSAN,TR201922850A1,Araçtan bağimsiz hapti̇k arayüzü,2019-12-31,2019,Anonim
HAVELSAN,TR202100887A1,İnsansiz kara araçlari i̇çi̇n palet gergi̇ mekani̇zmasi,2021-01-21,2021,A
HAVELSAN,TR202022704A1,Araçlarda yağ anali̇zi̇ i̇çi̇n bi̇r si̇stem,2020-12-31,2020,A
HAVELSAN,TR202022726A2,İnsansiz hava ve kara araçlarindan oluşan karma sürülerle yapay zekâ tabanli …,2020-12-31,2020,A
HAVELSAN,TR202022706A1,Mi̇cro mems tabanli yağ anali̇zi̇ sensör si̇stemi̇,2020-12-31,2020,A
HAVELSAN,TR202021733A1,Deni̇z platformlarinda si̇nti̇ne suyu anali̇zi̇ tabanli bi̇r bakim anali̇z si̇ …,2020-12-25,2020,A
