civil_firm,year,patents,log_rd_lag2,jaffe_prox,rd_x_jaffe,post_2016
OTOKAR,2011,1,5.521460917862246,0.315,1.7392601891266075,0
OTOKAR,2012,0,5.648974238161206,0.315,1.77942688502078,0
OTOKAR,2013,2,5.800304041646823,0.315,1.8270957731187492,0
OTOKAR,2014,7,6.001909804969521,0.315,1.890601588565399,0
OTOKAR,2015,4,6.232251533594787,0.315,1.963159233082358,0
OTOKAR,2016,27,6.477895014039251,0.315,2.040536929422364,1
OTOKAR,2017,24,6.706617807930542,0.315,2.1125846094981204,1
OTOKAR,2018,6,6.937993462042747,0.315,2.1854679405434654,1
OTOKAR,2019,16,7.154380954443551,0.315,2.2536300006497183,1
OTOKAR,2020,19,7.335242771124794,0.315,2.31060147290431,1
OTOKAR,2021,12,7.49041772636681,0.315,2.3594815838055454,1
OTOKAR,2022,5,7.593323814018532,0.315,2.391897001415838,1
OTOKAR,2023,1,7.68634594135955,0.315,2.4211989715282582,1
OTOKAR,2024,0,7.812459141604372,0.315,2.4609246296053775,1
VESTEL,2010,3,5.521460917862246,0.185,1.0214702698045155,0
VESTEL,2011,1,5.521460917862246,0.185,1.0214702698045155,0
VESTEL,2012,1,5.648974238161206,0.185,1.0450602340598232,0
VESTEL,2013,0,5.800304041646823,0.185,1.0730562477046621,0
VESTEL,2014,0,6.001909804969521,0.185,1.1103533139193613,0
VESTEL,2015,0,6.232251533594787,0.185,1.1529665337150354,0
VESTEL,2016,1,6.477895014039251,0.185,1.1984105775972613,1
VESTEL,2017,760,6.706617807930542,0.185,1.2407242944671502,1
VESTEL,2018,42,6.937993462042747,0.185,1.2835287904779082,1
VESTEL,2019,45,7.154380954443551,0.185,1.3235604765720568,1
VESTEL,2020,43,7.335242771124794,0.185,1.3570199126580869,1
VESTEL,2021,29,7.49041772636681,0.185,1.3857272793778599,1
VESTEL,2022,18,7.593323814018532,0.185,1.4047649055934284,1
VESTEL,2023,10,7.68634594135955,0.185,1.4219739991515166,1
VESTEL,2024,16,7.812459141604372,0.185,1.4453049411968089,1
ARCELIK,2010,32,5.521460917862246,0.1,0.5521460917862246,0
ARCELIK,2011,32,5.521460917862246,0.1,0.5521460917862246,0
ARCELIK,2012,15,5.648974238161206,0.1,0.5648974238161206,0
ARCELIK,2013,12,5.800304041646823,0.1,0.5800304041646823,0
ARCELIK,2014,29,6.001909804969521,0.1,0.6001909804969521,0
ARCELIK,2015,20,6.232251533594787,0.1,0.6232251533594787,0
ARCELIK,2016,134,6.477895014039251,0.1,0.6477895014039251,1
ARCELIK,2017,130,6.706617807930542,0.1,0.6706617807930542,1
ARCELIK,2018,38,6.937993462042747,0.1,0.6937993462042747,1
ARCELIK,2019,11,7.154380954443551,0.1,0.7154380954443551,1
ARCELIK,2020,18,7.335242771124794,0.1,0.7335242771124795,1
ARCELIK,2021,5,7.49041772636681,0.1,0.749041772636681,1
ARCELIK,2022,2,7.593323814018532,0.1,0.7593323814018533,1
ARCELIK,2023,7,7.68634594135955,0.1,0.768634594135955,1
ARCELIK,2024,33,7.812459141604372,0.1,0.7812459141604373,1
