firm_category,firm_name,publication_number,title,filing_date,filing_year,publication_date,priority_date,inventor,assignee_raw
SAVUNMA,ASELSAN,TR201008124A1,Bir taşıma aparatı,2010-10-05,2010,2012-04-24,2010-10-05,Ve,T�C.A.�.
SAVUNMA,ASELSAN,TR202019921A1,Test kabi̇nleri̇ i̇çeri̇si̇nde test edi̇len ürünlere uzaktan kontrol sağlayan …,2020-12-07,2020,2022-06-21,2020-12-07,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR2023016575A2,Kompakt geni̇ş bantli düzlemsel monopol anten,2023-12-06,2023,2025-06-23,2023-12-06,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR202019244A1,İki farklı veri okuma/yazma arayüzüne ve güç beslemesine sahip bir sistem,2020-11-30,2020,2022-06-21,2020-11-30,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR202018979A1,Bir mühimmat birleştirme aparatı,2020-11-25,2020,2022-06-21,2020-11-25,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR201106723U,El cihazları ikili taşıma ve kullanım birimi.,2011-07-06,2011,2013-01-21,2011-07-06,Anon�M,��Rket�
SAVUNMA,ASELSAN,TR202018785A1,Veri̇ anoni̇mleşti̇rme yöntemi̇,2020-11-23,2020,2022-06-21,2020-11-23,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR201009762U,Aviyonik çok işlevli gösterge cihazı.,2010-11-26,2010,2012-06-21,2010-11-26,Anon�M,��Rket�
SAVUNMA,ASELSAN,TR202018600A1,Akustik Uygulamalar İçin Bir Katı-Hal Anahtarlama Devresi,2020-11-19,2020,2022-06-21,2020-11-19,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR202018702A1,Tek-Er Durum Tespit Sistemi ve Yöntemi,2020-11-20,2020,2022-06-21,2020-11-20,A,S
SAVUNMA,ASELSAN,TR202018711U4,Portati̇f mekani̇k uyumlama bi̇ri̇mi̇,2020-11-20,2020,2022-06-21,2020-11-20,A,S
SAVUNMA,ASELSAN,TR200904795U,Bir soğutucu kasa.,2009-06-19,2009,2009-09-23,2009-06-19,Ve,Ti̇c.A.Ş
SAVUNMA,ASELSAN,TR202016579A2,Atış algılamalı bir sönümleme mekanizması,2020-10-16,2020,2022-04-21,2020-10-16,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR202016236A2,Bi̇r mi̇kro-akişkan kartuş,2020-10-12,2020,2022-04-21,2020-10-12,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR201010493A2,Bir hassas ayar mekanizması.,2010-12-15,2010,2012-07-23,2010-12-15,Anon�M,��Rket�
SAVUNMA,ASELSAN,TR202015922A1,Haberleşme hattinda gözlemlenen i̇stenmeyen si̇nyallere karşi dayanikli ofdm-im …,2020-10-07,2020,2022-04-21,2020-10-07,Anoni̇m,Şi̇rketi̇
SAVUNMA,ASELSAN,TR201008276A2,Flaş içeren bir görüntüleme sistemi.,2010-10-08,2010,2012-04-24,2010-10-08,Ve,T�C.A.�.
SAVUNMA,TUSAS,TR201710475A2,Düşürme testlerinde kullanıma uygun bir test zemini.,2017-07-17,2017,2019-02-21,2017-07-17,Anonim,Sirketi
SAVUNMA,TUSAS,TR201310355A2,Tek yaprak güneş paneli açılma düzeneği.,2013-09-03,2013,2014-06-23,2013-09-03,Anonim,Sirketi
SAVUNMA,TUSAS,TR202008028A2,Bir optimizasyon sistemi.,2020-05-22,2020,2021-12-21,2020-05-22,Anonim,Sirketi
SAVUNMA,TUSAS,TR202022599A1,Bir helikopter,2020-12-31,2020,2022-07-21,2020-12-31,Anonim,Sirketi
SAVUNMA,TUSAS,TR201913064A2,Bir döner atıcı mekanizma.,2019-08-28,2019,2021-03-22,2019-08-28,Anonim,Sirketi
SAVUNMA,TUSAS,TR201821033A2,Bir ölçüm düzeneği.,2018-12-28,2018,2020-07-21,2018-12-28,Anonim,Sirketi
SAVUNMA,TUSAS,TR202022489A2,Bir hava aracı.,2020-12-30,2020,2022-07-21,2020-12-30,Anonim,Sirketi
SAVUNMA,TUSAS,TR202013710A1,Bir Kompozit Parça Üretim Sistemi.,2020-08-31,2020,2022-03-21,2020-08-31,Anonim,Sirketi
SAVUNMA,TUSAS,TR2022014950A2,Bir kilit mekanizması.,2022-09-29,2022,2024-04-22,2022-09-29,Anonim,Sirketi
SAVUNMA,TUSAS,TR2022020012A1,Bir güç aktarım mekanizması.,2022-12-22,2022,2024-07-22,2022-12-22,Anonim,Sirketi
SAVUNMA,TUSAS,TR201913134A2,Bir eklemeli imalat tezgahı.,2019-08-29,2019,2021-03-22,2019-08-29,Anonim,Sirketi
SAVUNMA,TUSAS,TR201608894A3,Bir gerçek zamanlı çalışma yöntemi.,2016-06-27,2016,2018-03-21,2016-06-27,Anonim,Sirketi
SAVUNMA,TUSAS,TR202011716A1,Bir kontrol yüzeyi sistemi.,2020-07-23,2020,2022-02-21,2020-07-23,Anonim,Sirketi
SAVUNMA,TUSAS,TR201709721A2,Bir Aerodinamik Yük Test Sistemi,2017-07-03,2017,2019-01-21,2017-07-03,Anonim,Sirketi
SAVUNMA,TUSAS,TR201921508A2,Bir birleştirilmiş aviyonik sistem mimarisi.,2019-12-25,2019,2021-07-26,2019-12-25,Anonim,Sirketi
